Time,Measured Position,Measured Velocity
9.873883,0.0,0.0
9.888239,0.0,0.0
9.892199,0.0,0.0
9.892789,0.0,0.0
9.90773,0.0,0.0
9.913482,0.0,0.0
9.927173,0.0,0.0
9.934951,0.0,0.0
9.948441,0.0,0.0
9.954509,0.0,0.0
9.967141,0.0,0.0
9.973804,0.0,0.0
9.985299,0.0,0.0
9.99565,0.0,0.0
10.004669,0.0,0.0
10.015802,0.0,0.0
10.023103,0.0,0.0
10.041396,0.0,0.0
10.052306,0.0,0.0
10.07015,0.0,0.0
10.079161,0.0,0.0
10.084262,0.0,0.0
10.085499,0.0,0.0
10.094379,0.0,0.0
10.108019,0.0,0.0
10.115412,0.0,0.0
10.123856,0.0,0.0
10.134773,0.0,0.0
10.144348,0.0,0.0
10.155317,0.0,0.0
10.166354,0.0,0.0
10.175924,0.0,0.0
10.18528,0.0,0.0
10.193057,0.0,0.0
10.205224,0.0,0.0
10.212995,0.0,0.0
10.223844,0.0,0.0
10.234392,0.0,0.0
10.243341,0.0,0.0
10.255826,0.0,0.0
10.263875,0.0,0.0
10.274919,0.0,0.0
10.283307,0.0,0.0
10.296501,0.0,0.0
10.304395,0.0,0.0
10.316166,0.0,0.0
10.324334,0.0,0.0
10.335401,0.0,0.0
10.343703,0.0,0.0
10.355666,0.0,0.0
10.365278,0.0,0.0
10.37668,0.0,0.0
10.384377,0.0,0.0
10.39555,0.0,0.0
10.406707,0.0,0.0
10.416253,0.0,0.0
10.425017,0.0,0.0
10.435959,0.0,0.0
10.446859,0.0,0.0
10.458257,0.0,0.0
10.473289,0.0,0.0
10.483451,0.0,0.0
10.484359,0.0,0.0
10.494497,0.0,0.0
10.50685,0.0,0.0
10.518634,0.0,0.0
10.524125,0.0,0.0
10.533289,0.0,0.0
10.544456,0.0,0.0
10.552919,0.0,0.0
10.566358,0.0,0.0
10.57273,0.0,0.0
10.585664,0.0,0.0
10.592728,0.0,0.0
10.6048,0.0,0.0
10.61506,0.0,0.0
10.62455,0.0,0.0
10.63328,0.0,0.0
10.644646,0.0,0.0
10.655352,0.0,0.0
10.664173,0.00109914938986685,0.010991493898668499
10.673965,0.00109914938986685,0.010991493898668499
10.684516,0.00716219925010012,0.0716219925010012
10.693001,0.00716219925010012,0.0716219925010012
10.705853,0.01453713709178737,0.1453713709178737
10.712691,0.01453713709178737,0.1453713709178737
10.724658,0.020706556247814204,0.20706556247814206
10.7346,0.020706556247814204,0.20706556247814206
10.745699,0.026202303197148457,0.2620230319714846
10.753906,0.026202303197148457,0.2620230319714846
10.764375,0.03244263521703767,0.3134348582717082
10.772902,0.03244263521703767,0.3134348582717082
10.785122,0.03932118301168828,0.32158983761588156
10.795601,0.03932118301168828,0.32158983761588156
10.805359,0.045845166487027,0.31627137282620327
10.813919,0.045845166487027,0.31627137282620327
10.823627,0.05219186780270978,0.31485311554895573
10.834526,0.05219186780270978,0.31485311554895573
10.844834,0.05846765625453018,0.3226535305738173
10.855229,0.05846765625453018,0.3226535305738173
10.864917,0.06580713766428625,0.33009938127936683
10.876554,0.06580713766428625,0.33009938127936683
10.883786,0.07371392198494132,0.34392738973253045
10.894052,0.07371392198494132,0.34392738973253045
10.904548,0.08275531212739444,0.3691014564036745
10.915878,0.08275531212739444,0.3691014564036745
10.924349,0.09186761513370995,0.3967574733100016
10.935143,0.09186761513370995,0.3967574733100016
10.944454,0.10090900527616306,0.42441349021632885
10.961413,0.11094317551268948,0.4513603784840322
10.964786,0.11094317551268948,0.4513603784840322
10.975749,0.11094317551268948,0.4513603784840322
10.985466,0.12051641213411043,0.468024901491691
10.996048,0.12051641213411043,0.468024901491691
11.003328,0.13094060312187988,0.4818529099448545
